Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4168108,0.14331245,0.0773929,0.23534752,0.00029998485,146.16666666666666,-0.3333333333333333,-0.3333333333333333,1.0
2000,1.4033144,0.055332255,0.051831566,0.25310513,0.00029995607,159.0,0.3333333333333333,0.3333333333333333,1.0
3000,1.3936517,0.11962214,0.040429376,0.22824582,0.00029992603,188.16666666666666,0.0,0.0,1.0
4000,1.3848286,-0.05574361,0.03949832,0.23143277,0.00029989588,165.66666666666666,-0.3333333333333333,-0.3333333333333333,1.0
5000,1.3852556,0.09061636,0.059501998,0.2458103,0.00029986587,156.0,-0.6666666666666666,-0.6666666666666666,1.0
6000,1.3812726,0.032896586,0.034893468,0.24788652,0.00029983572,201.6,0.6,0.6,1.0
7000,1.3810887,0.22006077,0.029501922,0.23277041,0.00029980543,128.5,1.0,1.0,1.0
8000,1.3837022,0.6428385,0.06425938,0.2527402,0.00029977527,36.035714285714285,0.8518518518518519,0.8518518518518519,1.0
9000,1.3808396,0.85529566,0.05951784,0.24883185,0.00029974483,13.895522388059701,0.9104477611940298,0.9104477611940298,1.0
10000,1.3768651,0.8332776,0.09079345,0.25036705,0.0002997147,9.702127659574469,0.9361702127659575,0.9361702127659575,1.0
11000,1.3703693,0.92914104,0.027846426,0.2315934,0.0002996846,8.063636363636364,0.9818181818181818,0.9818181818181818,1.0
12000,1.3588573,0.8572076,0.10051236,0.24199519,0.00029965446,8.443396226415095,0.9056603773584906,0.9056603773584906,1.0
13000,1.3560644,0.8798907,0.049890168,0.24334115,0.00029962452,7.719298245614035,0.9649122807017544,0.9649122807017544,1.0
14000,1.3482399,0.9610016,0.002878672,0.25301725,0.00029959454,7.213114754098361,1.0,1.0,1.0
15000,1.3430728,0.96454585,0.00242355,0.2312684,0.00029956512,6.912698412698413,1.0,1.0,1.0
16000,1.3377331,0.96865433,0.001469245,0.24608946,0.0002995354,6.335766423357664,1.0,1.0,1.0
17000,1.3327281,0.9697015,0.0008692251,0.22936562,0.0002995045,6.172661870503597,1.0,1.0,1.0
18000,1.3253001,0.969261,0.00092791516,0.24681912,0.0002994749,6.113475177304965,1.0,1.0,1.0
19000,1.3216736,0.96976453,0.0010924032,0.24733591,0.00029944465,6.151079136690647,1.0,1.0,1.0
